addr,name,size,factor_a,factor_b,unit,format,description
0x1479,CrCtl_stShutOffCode1_mp1,2,1.000000,0.000000,-,8.2f,Low Byte von CrCtl_shutOffCode (Verwendung als Signal)
0x147A,CrCtl_stShutOffCode2_mp,2,1.000000,0.000000,-,8.2f,Shutoff code
0x147B,CrCtl_stShutOffCode2_mp1,2,1.000000,0.000000,-,8.2f,Low Byte von CrCtl_shutOffCode (Verwendung als Signal)
0x147C,CrCtl_stShutOffFrz1_mp,2,1.000000,0.000000,-,8.2f,Shutoff code Frz
0x147D,CrCtl_stShutOffFrz1_mp1,2,1.000000,0.000000,-,8.2f,latched shutoff reason
0x147E,CrCtl_stShutOffFrz2_mp,2,1.000000,0.000000,-,8.2f,Shutoff code Frz
0x147F,CrCtl_stShutOffFrz2_mp1,2,1.000000,0.000000,-,8.2f,latched shutoff reason
0x1480,BrkCD_tiDebTmrPlaus_mp,2,10.000000,0.000000,ms,8.1f,Entprelltimer für Bremssignal-Plausibilitaets-Check
0x148C,ETClb_stCor,2,1.000000,0.000000,-,5.1f,Statusanzeige der Freigaben für die Ansteuerdauerkorrektur der Nullmengenkalibrierung
0x148D,ETClb_stRlsCylCor_mp,2,1.000000,0.000000,-,5.1f,Zylinderspezifische Freigabe der Ansteuerdauerkorrektur der Ansteuerdauerkalibrierung
0x148E,ETClb_ctLrn_mp[0],2,1.000000,0.000000,-,8.2f,learn cycle counter et calibration
0x148F,ETClb_dtiETFlt0_mp[0],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1490,ETClb_dtiETFlt0_mp[1],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1491,ETClb_dtiETFlt0_mp[2],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1492,ETClb_dtiETFlt0_mp[3],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1493,ETClb_dtiETFlt0_mp[4],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1494,ETClb_dtiETFlt0_mp[5],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1495,ETClb_ctLrn_mp[1],2,1.000000,0.000000,-,8.2f,learn cycle counter et calibration
0x1496,ETClb_dtiETFlt1_mp[0],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1497,ETClb_dtiETFlt1_mp[1],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1498,ETClb_dtiETFlt1_mp[2],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x1499,ETClb_dtiETFlt1_mp[3],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x149A,ETClb_dtiETFlt1_mp[4],2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
